Ensembl Gene ID	Multiple?	% Identity with respect to Human gene	Hs Gene	HS Description	First	Ensembl Gene ID
4R79.2	0	45	RAB44	"RAB44, member RAS oncogene family [Source:HGNC Symbol;Acc:21068]"	1	4R79.2
AC7.1	1	21	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:4523]	1	AC7.1
AC7.1	1	22	PRLHR	prolactin releasing hormone receptor [Source:HGNC Symbol;Acc:4464]	1	AC7.1
AC7.2	1	27	LRRC30	leucine rich repeat containing 30 [Source:HGNC Symbol;Acc:30219]	1	AC7.2
AC7.2	1	15	LRRD1	leucine-rich repeats and death domain containing 1 [Source:HGNC Symbol;Acc:34300]	1	AC7.2
AC7.2	1	23	LRRIQ4	leucine-rich repeats and IQ motif containing 4 [Source:HGNC Symbol;Acc:34298]	1	AC7.2
AC7.2	1	9	MFHAS1	malignant fibrous histiocytoma amplified sequence 1 [Source:HGNC Symbol;Acc:16982]	1	AC7.2
AC7.2	1	52	SHOC2	soc-2 suppressor of clear homolog (C. elegans) [Source:HGNC Symbol;Acc:15454]	1	AC7.2
AH6.2	1	48	SFXN1	sideroflexin 1 [Source:HGNC Symbol;Acc:16085]	1	AH6.2
AH6.2	1	47	SFXN3	sideroflexin 3 [Source:HGNC Symbol;Acc:16087]	1	AH6.2
AH6.5	1	16	ZFP36	"zinc finger protein 36, C3H type, homolog (mouse) [Source:HGNC Symbol;Acc:12862]"	1	AH6.5
AH6.5	1	14	ZFP36L1	"zinc finger protein 36, C3H type-like 1 [Source:HGNC Symbol;Acc:1107]"	1	AH6.5
AH6.5	1	11	ZFP36L2	"zinc finger protein 36, C3H type-like 2 [Source:HGNC Symbol;Acc:1108]"	1	AH6.5
AH9.2	0	17	ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:23994]	1	AH9.2
B0001.4	1	38	UCK1	uridine-cytidine kinase 1 [Source:HGNC Symbol;Acc:14859]	1	B0001.4
B0001.4	1	42	UCK2	uridine-cytidine kinase 2 [Source:HGNC Symbol;Acc:12562]	1	B0001.4
B0024.10	0	19	ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1 [Source:HGNC Symbol;Acc:13825]"	1	B0024.10
B0024.11	0	22	PUS7L	pseudouridylate synthase 7 homolog (S. cerevisiae)-like [Source:HGNC Symbol;Acc:25276]	1	B0024.11
B0024.12	0	28	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1 [Source:HGNC Symbol;Acc:19980]	1	B0024.12
B0024.13	0	22	SRD5A3	steroid 5 alpha-reductase 3 [Source:HGNC Symbol;Acc:25812]	1	B0024.13
B0024.14	1	8	CHRD	chordin [Source:HGNC Symbol;Acc:1949]	1	B0024.14
B0024.14	1	13	CHRDL1	chordin-like 1 [Source:HGNC Symbol;Acc:29861]	1	B0024.14
B0024.14	1	14	CHRDL2	chordin-like 2 [Source:HGNC Symbol;Acc:24168]	1	B0024.14
B0024.14	1	22	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like) [Source:HGNC Symbol;Acc:2359]	1	B0024.14
B0024.14	1	9	VWCE	von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:26487]	1	B0024.14
B0024.15	1	17	B3GALNT1	"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:918]"	1	B0024.15
B0024.15	1	20	B3GALT1	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1 [Source:HGNC Symbol;Acc:916]"	1	B0024.15
B0024.15	1	13	B3GALT2	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2 [Source:HGNC Symbol;Acc:917]"	1	B0024.15
B0024.15	1	15	B3GALT4	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 [Source:HGNC Symbol;Acc:919]"	1	B0024.15
B0024.15	1	19	B3GALT5	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5 [Source:HGNC Symbol;Acc:920]"	1	B0024.15
B0024.8	1	13	FAM179A	"family with sequence similarity 179, member A [Source:HGNC Symbol;Acc:33715]"	1	B0024.8
B0024.8	1	17	FAM179B	"family with sequence similarity 179, member B [Source:HGNC Symbol;Acc:19959]"	1	B0024.8
B0024.9	0	34	TXN2	thioredoxin 2 [Source:HGNC Symbol;Acc:17772]	1	B0024.9
B0025.1	0	39	PIK3C3	"phosphoinositide-3-kinase, class 3 [Source:HGNC Symbol;Acc:8974]"	1	B0025.1
B0025.2	0	62	COPS2	COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis) [Source:HGNC Symbol;Acc:30747]	1	B0025.2
B0025.4	0	30	MEAF6	MYST/Esa1-associated factor 6 [Source:HGNC Symbol;Acc:25674]	1	B0025.4
B0034.3	1	27	CLSTN1	calsyntenin 1 [Source:HGNC Symbol;Acc:17447]	1	B0034.3
B0034.3	1	26	CLSTN2	calsyntenin 2 [Source:HGNC Symbol;Acc:17448]	1	B0034.3
B0034.3	1	24	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:18371]	1	B0034.3
B0035.1	0	25	ZNF207	zinc finger protein 207 [Source:HGNC Symbol;Acc:12998]	1	B0035.1
